Keyword,Detailed Information
Recruitment Process,"Application through HCL Career Portal
- Create online profile
- Upload resume
- Apply to specific positions
- Track application status online

Interview Process:
- Multi-stage interview:
  1. Initial HR screening (15-30 minutes)
  2. Technical/domain assessment (45-60 minutes)
  3. Managerial interview (30-45 minutes)
  4. Optional final HR discussion for offer negotiation
- Additional rounds for senior positions"
Background Verification,"Conducted by third-party vendors
Verification covers:
- Previous employment (last 5 years)
- Education qualification
- Address verification
- Criminal background check
- Reference checks

Process Details:
- Typically takes 2-3 weeks to complete
- Comprehensive check for all new hires"
Offer Letter Process,"Process Details:
- Digital offer letters sent through HCL hiring portal
- Candidates have 7 days to accept offer
- Joining date usually set within 30-90 days
- Salary negotiation permitted within pre-approved range by hiring managers"
Probation Period,"Standard Terms:
- 6 months probation for all new employees
- Performance review conducted at end of probation
- Notice period during probation: 30 days

Benefits:
- Benefits eligibility begins from day one
- Some benefits (like ESOP) require confirmation after probation"
Employee Referral Program,"Program Name: HCL Refer

Key Details:
- Rewards range: ₹25,000 to ₹1,50,000
- Referrer must have completed 6+ months at HCL
- Bonus paid after referred candidate completes 6 months
- Maximum 5 successful referrals can be rewarded annually"
Onboarding Process,"Pre-Joining Documentation Required:
- College/university degree certificates
- Mark sheets
- Experience and relieving letters
- Identity proof (Passport/Aadhar/PAN/Voter ID)
- Address proof
- Passport-sized photographs
- PAN card
- Bank account details
- Medical fitness certificate

Day 1 Procedures:
- Reporting time: 9:00 AM at designated HCL office
- HR documentation verification
- IT asset allocation
- Employee ID card issuance"
Induction Program,"Program Name: HCL First Days

Details:
- 3-day comprehensive orientation
- Covers:
  1. Company overview
  2. Vision and values
  3. HR policies and benefits
  4. IT security training
- Team-specific orientation in the following week

Buddy Program (HCL Guide):
- Each new joiner assigned a buddy
- Support provided for first 90 days
- Weekly check-ins scheduled for first month
- Buddies receive training and recognition"
Employee Classification,"Full-time Employees:
- Standard 40-45 hour work week
- Complete benefits package
- Eligible for annual bonus
- Classified in bands A to F

Part-time Employees:
- 20-30 hour work week
- Pro-rated benefits
- Limited to specific roles

Contract Workers:
- Engaged through third-party staffing agencies
- Initial contracts 6-12 months
- Maximum contract duration 2 years

Consultants:
- Specialized expertise engagement
- Statement of work (SOW) based contracts
- Intellectual property assigned to HCL
- Not eligible for HCL benefits

Interns:
- HCL Campus Connect program
- 3-6 months duration
- Monthly stipend ₹15,000-₹25,000
- Performance-based conversion to full-time roles"
Working Hours,"Standard Working Hours:
- 9 hours daily (including 1-hour break)
- Flexible start time: 8:00 AM - 10:00 AM
- 45 hours per week
- Weekend work only during critical project deliveries

Shift Timings:
- General shift: 9:00 AM - 6:00 PM
- Morning shift: 6:00 AM - 3:00 PM
- Afternoon shift: 2:00 PM - 11:00 PM
- Night shift: 10:00 PM - 7:00 AM

Shift Allowances:
- 10% for afternoon shifts
- 15% for night shifts"
Overtime Policy,"Eligibility:
- Applicable only for Bands A and B
- Requires prior manager approval

Compensation:
- Weekday overtime: 1.5x hourly rate
- Weekend/holiday overtime: 2x hourly rate
- Capped at 50 hours per month"
